run_id,video,video_sha256,config_id,pts_ms,cls,confidence,x1,y1,x2,y2,area_px,width_px,height_px,aspect,abstained,abstain_reason,usable,seat_state,track_id,event_id,crop_id,crop_config,fallback_reason,crop_native_px,magnification,slice_index,merged_from,calibration_version,pose_source
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.4183,651.88,364.9,671.34,420.93,1090.3,19.46,56.03,0.347,False,,True,unattributed,2,evt_01-P02_desk_work_surface_0009,6acb64a553686e50,native_source_context_fallback,wrist_confidence_below_floor,18669.3,3.45,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3002,692.36,397.86,752.02,486.98,5316.9,59.66,89.12,0.669,False,,True,unattributed,2,evt_01-P02_desk_work_surface_0009,6acb64a553686e50,native_source_context_fallback,wrist_confidence_below_floor,18669.3,3.45,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,insufficient_visual_evidence,0.0,37.37,690.22,85.37,720.0,1429.4,48.0,29.78,1.612,True,"native footprint 48x30 px is under the 32 px floor; magnifying it 13.3x adds interpolation, not detail",False,unattributed,3,evt_01-P02_desk_work_surface_0009,be24e28f5da403ec,pose_hand_context,,1429.4,13.33,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,monitor_or_bezel,0.8769,980.13,586.0,1056.03,714.98,9788.7,75.89,128.98,0.588,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.6248,881.94,457.21,1029.25,599.77,20999.3,147.31,142.55,1.033,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,phone,0.4412,1037.18,567.1,1056.13,592.83,487.4,18.95,25.72,0.737,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.4325,871.84,540.08,894.79,671.59,3017.6,22.95,131.51,0.174,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3694,882.05,457.26,955.91,599.59,10512.6,73.86,142.33,0.519,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3227,1003.07,560.18,1056.0,618.02,3061.9,52.93,57.85,0.915,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.2877,882.1,457.22,939.73,599.26,8185.9,57.63,142.05,0.406,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
